Para f(x)=x^6-1

      k           a        b        c     f(c)        e 
         0       0         0        0         0         0
    2.0000    0.7500    1.5000    0.7500   -0.8220   37.5000
    3.0000    0.7500    1.1250    1.1250    1.0273   18.7500
    4.0000    0.9375    1.1250    0.9375   -0.3211    9.3750
    5.0000    0.9375    1.0312    1.0312    0.2028    4.6875
    6.0000    0.9844    1.0312    0.9844   -0.0902    2.3438
    7.0000    0.9844    1.0078    1.0078    0.0478    1.1719
    8.0000    0.9961    1.0078    0.9961   -0.0232    0.5859

Solucion: 
 raíz= 0.99609
f(c)=-0.02321
error= 0.58594
